A1,VDDQ,power_input,,
A2,DQ13,bidirectional,,
A3,DQ15,bidirectional,,
A7,DQ12,bidirectional,,
A8,VDDQ,power_input,,
A9,VSS,power_input,,
B1,VSSQ,power_input,,
B2,VDD,power_input,,
B3,VSS,power_input,,
B7,UDQS#,bidirectional,,
B8,DQ14,bidirectional,,
B9,VSSQ,power_input,,
C1,VDDQ,power_input,,
C2,DQ11,bidirectional,,
C3,DQ9,bidirectional,,
C7,UDQS,bidirectional,,
C8,DQ10,bidirectional,,
C9,VDDQ,power_input,,
D1,VSSQ,power_input,,
D2,VDDQ,power_input,,
D3,UDM,input,,
D7,DQ8,bidirectional,,
D8,VSSQ,power_input,,
D9,VDD,power_input,,
E1,VSS,power_input,,
E2,VSSQ,power_input,,
E3,DQ0,bidirectional,,
E7,LDM,input,,
E8,VSSQ,power_input,,
E9,VDDQ,power_input,,
F1,VDDQ,power_input,,
F2,DQ2,bidirectional,,
F3,LDQS,bidirectional,,
F7,DQ1,bidirectional,,
F8,DQ3,bidirectional,,
F9,VSSQ,power_input,,
G1,VSSQ,power_input,,
G2,DQ6,bidirectional,,
G3,LDQS#,bidirectional,,
G7,VDD,power_input,,
G8,VSS,power_input,,
G9,VSSQ,power_input,,
H1,VREFDQ,power_input,,
H2,VDDQ,power_input,,
H3,DQ4,bidirectional,,
H7,DQ7,bidirectional,,
H8,DQ5,bidirectional,,
H9,VDDQ,power_input,,
J1,NC,not_connected,,
J2,VSS,power_input,,
J3,RAS#,input,,
J7,CK,input,,
J8,VSS,power_input,,
J9,NC,not_connected,,
K1,ODT,input,,
K2,VDD,power_input,,
K3,CAS#,input,,
K7,CK#,input,,
K8,VDD,power_input,,
K9,CKE,input,,
L1,NC,not_connected,,
L2,CS#,input,,
L3,WE#,input,,
L7,A10,input,,AP
L8,ZQ,power_input,,
L9,NC,not_connected,,
M1,VSS,power_input,,
M2,BA0,input,,
M3,BA2,input,,
M7,A15,input,,
M8,VREFCA,power_input,,
M9,VSS,power_input,,
N1,VDD,power_input,,
N2,A3,input,,
N3,A0,input,,
N7,A12,input,,BC#
N8,BA1,input,,
N9,VDD,power_input,,
P1,VSS,power_input,,
P2,A5,input,,
P3,A2,input,,
P7,A1,input,,
P8,A4,input,,
P9,VSS,power_input,,
R1,VDD,power_input,,
R2,A7,input,,
R3,A9,input,,
R7,A11,input,,
R8,A6,input,,
R9,VDD,power_input,,
T1,VSS,power_input,,
T2,RESET#,input,,
T3,A13,input,,
T7,A14,input,,
T8,A8,input,,
T9,VSS,power_input,,
