LCSC Part;MFR.Part;First Category;Second Category;Package;Solder Joint;Manufacturer;Library Type
C25082;150Ω (1500) ±1%;Resistors;Chip Resistor - Surface Mount;0402;2;Uniroyal Elec;base
C25756;15KΩ (1502) ±1%;Resistors;Chip Resistor - Surface Mount;0402;2;Uniroyal Elec;base
C25762;18KΩ (1802) ±1%;Resistors;Chip Resistor - Surface Mount;0402;2;Uniroyal Elec;base
C25086;1Ω (1R00) ±1%;Resistors;Chip Resistor - Surface Mount;0402;2;Uniroyal Elec;base
C25882;2.4KΩ (2401) ±1%;Resistors;Chip Resistor - Surface Mount;0402;2;Uniroyal Elec;base
C25764;200KΩ (2003) ±1%;Resistors;Chip Resistor - Surface Mount;0402;2;Uniroyal Elec;base
C25087;200Ω (2000) ±1%;Resistors;Chip Resistor - Surface Mount;0402;2;Uniroyal Elec;base
C25765;20KΩ (2002) ±1%;Resistors;Chip Resistor - Surface Mount;0402;2;Uniroyal Elec;base
C25767;220KΩ (2203) ±1%;Resistors;Chip Resistor - Surface Mount;0402;2;Uniroyal Elec;base
C25091;220Ω (2200) ±1%;Resistors;Chip Resistor - Surface Mount;0402;2;Uniroyal Elec;base
C25768;22KΩ (2202) ±1%;Resistors;Chip Resistor - Surface Mount;0402;2;Uniroyal Elec;base
C25769;24KΩ (2402) ±1%;Resistors;Chip Resistor - Surface Mount;0402;2;Uniroyal Elec;base
C25771;27KΩ (2702) ±1%;Resistors;Chip Resistor - Surface Mount;0402;2;Uniroyal Elec;base
C51721;3.9KΩ(3901) ±1%;Resistors;Chip Resistor - Surface Mount;0402;2;Uniroyal Elec;base
C25774;300KΩ (3003) ±1%;Resistors;Chip Resistor - Surface Mount;0402;2;Uniroyal Elec;base
C25102;300Ω (3000) ±1%;Resistors;Chip Resistor - Surface Mount;0402;2;Uniroyal Elec;base
C25778;330KΩ (3303) ±1%;Resistors;Chip Resistor - Surface Mount;0402;2;Uniroyal Elec;base
C25104;330Ω (3300) ±1%;Resistors;Chip Resistor - Surface Mount;0402;2;Uniroyal Elec;base
C25779;33KΩ (3302) ±1%;Resistors;Chip Resistor - Surface Mount;0402;2;Uniroyal Elec;base
C25105;33Ω (33R0) ±1%;Resistors;Chip Resistor - Surface Mount;0402;2;Uniroyal Elec;base
C25783;39KΩ (3902) ±1%;Resistors;Chip Resistor - Surface Mount;0402;2;Uniroyal Elec;base
C25118;47Ω (47R0) ±1%;Resistors;Chip Resistor - Surface Mount;0402;2;Uniroyal Elec;base
C25897;49.9KΩ (4992) ±1%;Resistors;Chip Resistor - Surface Mount;0402;2;Uniroyal Elec;base
C25905;5.1KΩ (5101) ±1%;Resistors;Chip Resistor - Surface Mount;0402;2;Uniroyal Elec;base
C25908;5.6KΩ (5601) ±1%;Resistors;Chip Resistor - Surface Mount;0402;2;Uniroyal Elec;base
C11616;510KΩ (5103) ±1%;Resistors;Chip Resistor - Surface Mount;0402;2;Uniroyal Elec;base
