LCSC Part;MFR.Part;First Category;Second Category;Package;Solder Joint;Manufacturer;Library Type
C23210;6.2Ω(6R20) ±1%;Resistors;Chip Resistor - Surface Mount;0603;2;Uniroyal Elec;expand
C103378;1.1Ω(1R10) ±1%;Resistors;Chip Resistor - Surface Mount;0603;2;RALEC;expand
C25188;1.3Ω(1R30) ±1%;Resistors;Chip Resistor - Surface Mount;0603;2;Uniroyal Elec;expand
C103386;1.6Ω(1R60) ±1%;Resistors;Chip Resistor - Surface Mount;0603;2;RALEC;expand
C22941;2.4Ω(2R40) ±1%;Resistors;Chip Resistor - Surface Mount;0603;2;Uniroyal Elec;expand
C103610;3Ω(3R00) ±1%;Resistors;Chip Resistor - Surface Mount;0603;2;RALEC;expand
C23015;3.6Ω(3R60) ±1%;Resistors;Chip Resistor - Surface Mount;0603;2;Uniroyal Elec;expand
C23161;4.3Ω(4R30) ±1%;Resistors;Chip Resistor - Surface Mount;0603;2;Uniroyal Elec;expand
C17894;1.2Ω(1R20) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C17899;1.5Ω(1R50) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C15545;1.8Ω(1R80) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C17952;2.7Ω(2R70) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C17945;3.3Ω(3R30) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C17885;3.9Ω(3R90) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C17970;5.6Ω(5R60) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C25345;6.8Ω(6R80) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C18022;8.2Ω(8R20) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C17913;12Ω(12R0) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C17918;15Ω(15R0) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C17922;18Ω(18R0) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C17946;27Ω(27R0) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C18005;33Ω(33R0) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C17969;47Ω(47R0) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C17881;3.74Ω(3R74) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C17882;3.6KΩ(3601) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C17883;3.9KΩ(3901) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C17884;300KΩ(3003) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C17886;30Ω(30R0) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C17889;1.1KΩ(1101) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C17890;1.1Ω(1R10) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C17891;1.2KΩ(1201) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C17892;1.3KΩ(1301) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C17893;1.3Ω(1R30) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C17895;1.37KΩ(1371) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C17896;1.6KΩ(1601) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C17897;1.6Ω(1R60) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C17898;1.5MΩ(1504) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C17906;11KΩ(1102) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C17907;11Ω(11R0) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C17908;120KΩ(1203) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C17909;120Ω(1200) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C17910;121KΩ(1213) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C17911;13Ω(13R0) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C17912;12KΩ(1202) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C17914;130Ω(1300) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C17915;14KΩ(1402) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C17916;150KΩ(1503) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C17917;150Ω(1500) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C17919;160Ω(1600) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C17920;16Ω(16R0) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C17921;18KΩ(1802) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C17923;180KΩ(1803) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C17925;182KΩ(1823) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C17927;1MΩ(1004) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C17929;330KΩ(3303) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C17930;330Ω(3300) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C17931;360KΩ(3603) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C17932;360Ω(3600) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C17933;390KΩ(3903) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C17935;4.75KΩ(4751) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C17937;4.7Ω(4R70) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C17939;3Ω(3R00) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C17940;270KΩ(2703) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C17941;270Ω(2700) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C17942;2Ω(2R00) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C17943;27KΩ(2702) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C17947;2.2Ω(2R20) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C17948;2.2KΩ(2201) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C17949;2.4KΩ(2401) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C17950;2.7KΩ(2701) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C17956;220KΩ(2203) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C17957;220Ω(2200) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C17960;24KΩ(2402) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C17961;240Ω(2400) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C17962;24.9Ω(24R9) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C17963;24Ω(24R0) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C17964;430KΩ(4303) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C17965;430Ω(4300) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C17966;43.2KΩ(4322) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C17967;46.4Ω(46R4) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C17968;5.11KΩ(5111) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C17971;62Ω(62R0) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C17972;620KΩ(6203) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C17973;620Ω(6200) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C17974;680KΩ(6803) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C17975;680Ω(6800) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C17976;68Ω(68R0) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C17977;7.5Ω(7R50) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C17978;7.5KΩ(7501) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C17979;82KΩ(8202) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C17980;82Ω(82R0) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C17981;91KΩ(9102) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C17982;866Ω(8660) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C17983;820KΩ(8203) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C17984;820Ω(8200) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C17986;75KΩ(7502) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C17987;75Ω(75R0) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C17988;5.9Ω(5R90) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C17989;51.1Ω(51R1) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C17990;510KΩ(5103) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C17991;510Ω(5100) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C17992;51KΩ(5102) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C17993;560KΩ(5603) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C17994;560Ω(5600) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C17995;56Ω(56R0) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C17996;6.2KΩ(6201) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C17997;470KΩ(4703) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C17998;3.6Ω(3R60) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C17999;30KΩ(3002) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C18000;24.9KΩ(2492) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C18001;240KΩ(2403) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C18002;200Ω(2000) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C18003;20KΩ(2002) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C18004;33KΩ(3302) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C18006;36Ω(36R0) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C18007;36KΩ(3602) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C18008;39KΩ(3902) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C18009;4.3KΩ(4301) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C18010;4.3Ω(4R30) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C18018;49.9Ω(49R9) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C18019;51Ω(51R0) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C18020;5.1Ω(5R10) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C18021;62KΩ(6202) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C18023;910KΩ(9103) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C18024;910Ω(9100) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C18025;9.1KΩ(9101) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C18026;9.1Ω(9R10) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C18027;8.2KΩ(8201) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C18028;5.6KΩ(5601) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C18029;56KΩ(5602) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C22108;1.8KΩ(1801) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C22198;39Ω(39R0) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C22581;2MΩ(205) ±5%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C25335;0.2Ω(R200) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C25336;0.22Ω(R220) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C25337;0.33Ω ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C25338;0.36Ω(R360) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C25342;140Ω(1400) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C25344;6.2Ω(6R20) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C25346;91Ω(91R0) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C25352;12Ω(120) ±5%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C25354;15Ω(150) ±5%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C25358;1.2Ω(1R2) ±5%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C25367;27Ω(270) ±5%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C25370;2.4Ω(2R4) ±5%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C25371;2.7Ω(2R7) ±5%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C25375;33Ω(330) ±5%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C25378;390Ω(391) ±5%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C25381;3.3Ω(3R3) ±5%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C25382;3.9Ω(3R9) ±5%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C25383;470Ω(471) ±5%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C25384;47Ω(470) ±5%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C24436;0.18Ω(R180) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C25828;15KΩ(1502) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C25829;16KΩ(1602) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C25830;22KΩ(2202) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C25831;28KΩ(2802) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C25832;402KΩ(4023) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C25833;47KΩ(4702) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C25834;68KΩ(6802) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C25835;750KΩ(7503) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C26029;1.4KΩ(1401) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C26030;1.5KΩ(1501) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C26031;21.5KΩ(2152) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C26032;3.3KΩ(3301) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C26033;5.1KΩ(5101) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C26034;6.8KΩ(6801) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C25662;3KΩ(302) ±5%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C34847;13KΩ(1302) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C37599;0.24Ω(0R24) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C37800;4.7MΩ(4704) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C37862;200KΩ(204) ±5%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C40089;121Ω(1210) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C41712;16.2Ω(16R2) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C41755;22MΩ(2205) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C2884;6.8Ω(6R8) ±5%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C4437;160KΩ(1603) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C4491;390Ω(3900) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C4502;470Ω(4700) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C25390;5.6Ω(5R6) ±5%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C25397;8.2Ω(8R2) ±5%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C33886;3.32KΩ(3321) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C26123;3MΩ(3004) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C26125;20MΩ(206) ±5%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C26126;3.9MΩ(395) ±5%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C43544;1.91MΩ(1914) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C43554;301KΩ(3013) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C43670;11.5KΩ(1152) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C43696;357KΩ(3573) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C24883;127Ω(1270) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C24965;0.43Ω(R430) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C19107;0.75Ω(R750) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C19108;0.68Ω(R680) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C28320;0.47Ω(R470) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C28420;2.8Ω(2R80) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C30544;137KΩ(1373) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C30568;0.82Ω(R820) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C30846;64.9Ω(64R9) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C34629;499KΩ(4993) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C63498;1.58KΩ(1581) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C63499;2.1KΩ(2101) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C63503;9.53KΩ(9531) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C73039;221KΩ(2213) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C73040;68.1KΩ(6812) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C79297;1.65Ω(1R65) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C79298;3.3MΩ(335) ±5%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C79299;3.6MΩ(365) ±5%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C85725;2.87Ω(2R87) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C85726;2.94Ω(2R94) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C72256;4.22KΩ(4221) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C30273;226KΩ(2263) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C45833;619KΩ(6193) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C55074;3.57KΩ(3571) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C55346;31.6KΩ(3162) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C55354;8.87KΩ(8871) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C55569;1.24KΩ(1241) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C57568;4.22Ω(4R22) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C57572;60.4Ω(60R4) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C57609;4.99KΩ(4991) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C57647;3.9MΩ(3904) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C59882;0.3Ω(R300) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C83722;1.1MΩ(1104) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C83723;191KΩ(1913) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C83725;35.7Ω(35R7) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C86993;374KΩ(3743) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C98724;110KΩ(114) ±5%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C127681;0.056Ω(R056) ±1%;Resistors;Low Resistors & Current Sense Resistors - Surface Mount;1206;2;Uniroyal Elec;expand
C127683;0.047Ω(R047) ±1%;Resistors;Low Resistors & Current Sense Resistors - Surface Mount;1206;2;Uniroyal Elec;expand
C127684;0.05Ω(R05) ±5%;Resistors;Low Resistors & Current Sense Resistors - Surface Mount;1206;2;Uniroyal Elec;expand
C43002;732KΩ(7323) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C43003;9.09KΩ(9091) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C43004;909Ω(9090) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C45027;63.4Ω(63R4) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C45030;124Ω(1240) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C61834;2.8KΩ(2801) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C71009;10MΩ(106) ±5%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C78210;665KΩ(6653) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
C127710;0.04Ω(R040) ±1%;Resistors;Low Resistors & Current Sense Resistors - Surface Mount;1206;2;Uniroyal Elec;expand
C127711;0.075Ω(R075) ±5%;Resistors;Low Resistors & Current Sense Resistors - Surface Mount;1206;2;Uniroyal Elec;expand
C127690;0.02Ω(R020) ±1%;Resistors;Low Resistors & Current Sense Resistors - Surface Mount;1206;2;Uniroyal Elec;expand
C127691;0.05Ω(R050) ±1%;Resistors;Low Resistors & Current Sense Resistors - Surface Mount;1206;2;Uniroyal Elec;expand
C127704;0.075Ω(R075) ±1%;Resistors;Low Resistors & Current Sense Resistors - Surface Mount;1206;2;Uniroyal Elec;expand
C127707;0.018Ω(R018) ±1%;Resistors;Low Resistors & Current Sense Resistors - Surface Mount;1206;2;Uniroyal Elec;expand
C37936;0.15Ω(R150) ±1%;Resistors;Chip Resistor - Surface Mount;1206;2;Uniroyal Elec;expand
