VDDQ DQ13 DQ15 DQ12 VDDQ VSS
VSSQ VDD VSS UDQS# DQ14 VSSQ
VDDQ DQ11 DQ9 UDQS DQ10 VDDQ
VSSQ VDDQ UDM DQ8 VSSQ VDD
VSS VSSQ DQ0 LDM VSSQ VDDQ
VDDQ DQ2 LDQS DQ1 DQ3 VSSQ
VSSQ DQ6 LDQS# VDD VSS VSSQ
VREFDQ VDDQ DQ4 DQ7 DQ5 VDDQ
NC VSS RAS# CK VSS NC
ODT VDD CAS# CK# VDD CKE
NC CS# WE# A10 ZQ NC
VSS BA0 BA2 A15 VREFCA VSS
VDD A3 A0 A12 BA1 VDD
VSS A5 A2 A1 A4 VSS
VDD A7 A9 A11 A6 VDD
VSS RESET# A13 A14 A8 VSS
