# ECP5-5G caBGA381 Pin Migration,,,,,,,,,,,,,,,,,,,,,,
# Revision 0.0,,,,,,,,,,,,,,,,,,,,,,
"# Revised Feb. 23, 2016",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
LFE5UM5G-25,,,,,,,,LFE5UM5G-45,,,,,,,,LFE5UM5G-85,,,,,,
Pin Number,Pin Function,Bank,Dual Function,Differential,True LVDS,DQS,,Pin Number,Pin Function,Bank,Dual Function,Differential,True LVDS,DQS,,Pin Number,Pin Function,Bank,Dual Function,Differential,True LVDS,DQS
H4,PL20A,7,GR_PCLK7_1,True_OF_PL20B,TRUE,LDQS20,,H4,PL29A,7,GR_PCLK7_1,True_OF_PL29B,TRUE,LDQS29,,H4,PL41A,7,GR_PCLK7_1,True_OF_PL41B,TRUE,LDQS41
H5,PL20C,7,GR_PCLK7_0,True_OF_PL20D,-,LDQ20,,H5,PL29C,7,GR_PCLK7_0,True_OF_PL29D,-,LDQ29,,H5,PL41C,7,GR_PCLK7_0,True_OF_PL41D,-,LDQ41
H6,VCCIO7,7,-,-,-,-,,H6,VCCIO7,7,-,-,-,-,,H6,VCCIO7,7,-,-,-,-
H7,VCCIO7,7,-,-,-,-,,H7,VCCIO7,7,-,-,-,-,,H7,VCCIO7,7,-,-,-,-
H8,VCC,-,-,-,-,-,,H8,VCC,-,-,-,-,-,,H8,VCC,-,-,-,-,-
H9,VCC,-,-,-,-,-,,H9,VCC,-,-,-,-,-,,H9,VCC,-,-,-,-,-
H10,VCC,-,-,-,-,-,,H10,VCC,-,-,-,-,-,,H10,VCC,-,-,-,-,-
H11,VCC,-,-,-,-,-,,H11,VCC,-,-,-,-,-,,H11,VCC,-,-,-,-,-
H12,VCC,-,-,-,-,-,,H12,VCC,-,-,-,-,-,,H12,VCC,-,-,-,-,-
H13,VCC,-,-,-,-,-,,H13,VCC,-,-,-,-,-,,H13,VCC,-,-,-,-,-
H14,VCCIO2,2,-,-,-,-,,H14,VCCIO2,2,-,-,-,-,,H14,VCCIO2,2,-,-,-,-
H15,VCCIO2,2,-,-,-,-,,H15,VCCIO2,2,-,-,-,-,,H15,VCCIO2,2,-,-,-,-
H16,PR8D,2,-,Comp_OF_PR8C,-,RDQ8,,H16,PR17D,2,-,Comp_OF_PR17C,-,RDQ17,,H16,PR17D,2,-,Comp_OF_PR17C,-,RDQ17
H17,PR11B,2,-,Comp_OF_PR11A,TRUE,RDQ8,,H17,PR20B,2,-,Comp_OF_PR20A,TRUE,RDQ17,,H17,PR20B,2,-,Comp_OF_PR20A,TRUE,RDQ17
H18,PR11A,2,-,True_OF_PR11B,TRUE,RDQ8,,H18,PR20A,2,-,True_OF_PR20B,TRUE,RDQ17,,H18,PR20A,2,-,True_OF_PR20B,TRUE,RDQ17
H19,GND,-,-,-,-,-,,H19,GND,-,-,-,-,-,,H19,GND,-,-,-,-,-
H20,PR20B,2,-,Comp_OF_PR20A,TRUE,RDQSN20,,H20,PR29B,2,-,Comp_OF_PR29A,TRUE,RDQSN29,,H20,PR41B,2,-,Comp_OF_PR41A,TRUE,RDQSN41
J1,PL32B,6,-,Comp_OF_PL32A,TRUE,LDQSN32,,J1,PL41B,6,-,Comp_OF_PL41A,TRUE,LDQSN41,,J1,PL53B,6,-,Comp_OF_PL53A,TRUE,LDQSN53
J2,GND,-,-,-,-,-,,J2,GND,-,-,-,-,-,,J2,GND,-,-,-,-,-
J3,PL29C,6,GR_PCLK6_1,True_OF_PL29D,-,LDQ32,,J3,PL38C,6,GR_PCLK6_1,True_OF_PL38D,-,LDQ41,,J3,PL50C,6,GR_PCLK6_1,True_OF_PL50D,-,LDQ53
J4,PL29A,6,GR_PCLK6_0,True_OF_PL29B,TRUE,LDQ32,,J4,PL38A,6,GR_PCLK6_0,True_OF_PL38B,TRUE,LDQ41,,J4,PL50A,6,GR_PCLK6_0,True_OF_PL50B,TRUE,LDQ53
J5,PL29B,6,-,Comp_OF_PL29A,TRUE,LDQ32,,J5,PL38B,6,-,Comp_OF_PL38A,TRUE,LDQ41,,J5,PL50B,6,-,Comp_OF_PL50A,TRUE,LDQ53
J6,VCCIO7,7,-,-,-,-,,J6,VCCIO7,7,-,-,-,-,,J6,VCCIO7,7,-,-,-,-
J7,GND,-,-,-,-,-,,J7,GND,-,-,-,-,-,,J7,GND,-,-,-,-,-
J8,VCC,-,-,-,-,-,,J8,VCC,-,-,-,-,-,,J8,VCC,-,-,-,-,-
J9,GND,-,-,-,-,-,,J9,GND,-,-,-,-,-,,J9,GND,-,-,-,-,-
J10,GND,-,-,-,-,-,,J10,GND,-,-,-,-,-,,J10,GND,-,-,-,-,-
J11,GND,-,-,-,-,-,,J11,GND,-,-,-,-,-,,J11,GND,-,-,-,-,-
J12,GND,-,-,-,-,-,,J12,GND,-,-,-,-,-,,J12,GND,-,-,-,-,-
J13,VCC,-,-,-,-,-,,J13,VCC,-,-,-,-,-,,J13,VCC,-,-,-,-,-
J14,GND,-,-,-,-,-,,J14,GND,-,-,-,-,-,,J14,GND,-,-,-,-,-
J15,VCCIO2,2,-,-,-,-,,J15,VCCIO2,2,-,-,-,-,,J15,VCCIO2,2,-,-,-,-
J16,PR11D,2,-,Comp_OF_PR11C,-,RDQ8,,J16,PR20D,2,-,Comp_OF_PR20C,-,RDQ17,,J16,PR20D,2,-,Comp_OF_PR20C,-,RDQ17
J17,PR11C,2,-,True_OF_PR11D,-,RDQ8,,J17,PR20C,2,-,True_OF_PR20D,-,RDQ17,,J17,PR20C,2,-,True_OF_PR20D,-,RDQ17
J18,PR20C,2,GR_PCLK2_0,True_OF_PR20D,-,RDQ20,,J18,PR29C,2,GR_PCLK2_0,True_OF_PR29D,-,RDQ29,,J18,PR41C,2,GR_PCLK2_0,True_OF_PR41D,-,RDQ41
J19,PR23A,2,PCLKT2_1,True_OF_PR23B,TRUE,RDQ20,,J19,PR32A,2,PCLKT2_1,True_OF_PR32B,TRUE,RDQ29,,J19,PR44A,2,PCLKT2_1,True_OF_PR44B,TRUE,RDQ41
J20,PR23C,2,PCLKT2_0,True_OF_PR23D,-,RDQ20,,J20,PR32C,2,PCLKT2_0,True_OF_PR32D,-,RDQ29,,J20,PR44C,2,PCLKT2_0,True_OF_PR44D,-,RDQ41
K1,PL32D,6,-,Comp_OF_PL32C,-,LDQ32,,K1,PL41D,6,-,Comp_OF_PL41C,-,LDQ41,,K1,PL53D,6,-,Comp_OF_PL53C,-,LDQ53
K2,PL32A,6,-,True_OF_PL32B,TRUE,LDQS32,,K2,PL41A,6,-,True_OF_PL41B,TRUE,LDQS41,,K2,PL53A,6,-,True_OF_PL53B,TRUE,LDQS53
K3,PL29D,6,-,Comp_OF_PL29C,-,LDQ32,,K3,PL38D,6,-,Comp_OF_PL38C,-,LDQ41,,K3,PL50D,6,-,Comp_OF_PL50C,-,LDQ53
K4,PL35A,6,-,True_OF_PL35B,TRUE,LDQ32,,K4,PL44A,6,-,True_OF_PL44B,TRUE,LDQ41,,K4,PL56A,6,-,True_OF_PL56B,TRUE,LDQ53
K5,PL35B,6,VREF1_6,Comp_OF_PL35A,TRUE,LDQ32,,K5,PL44B,6,VREF1_6,Comp_OF_PL44A,TRUE,LDQ41,,K5,PL56B,6,VREF1_6,Comp_OF_PL56A,TRUE,LDQ53
K6,GND,-,-,-,-,-,,K6,GND,-,-,-,-,-,,K6,GND,-,-,-,-,-
K7,GND,-,-,-,-,-,,K7,GND,-,-,-,-,-,,K7,GND,-,-,-,-,-
K8,VCC,-,-,-,-,-,,K8,VCC,-,-,-,-,-,,K8,VCC,-,-,-,-,-
K9,GND,-,-,-,-,-,,K9,GND,-,-,-,-,-,,K9,GND,-,-,-,-,-
K10,GND,-,-,-,-,-,,K10,GND,-,-,-,-,-,,K10,GND,-,-,-,-,-
K11,GND,-,-,-,-,-,,K11,GND,-,-,-,-,-,,K11,GND,-,-,-,-,-
K12,GND,-,-,-,-,-,,K12,GND,-,-,-,-,-,,K12,GND,-,-,-,-,-
K13,VCC,-,-,-,-,-,,K13,VCC,-,-,-,-,-,,K13,VCC,-,-,-,-,-
K14,GND,-,-,-,-,-,,K14,GND,-,-,-,-,-,,K14,GND,-,-,-,-,-
K15,GND,-,-,-,-,-,,K15,GND,-,-,-,-,-,,K15,GND,-,-,-,-,-
K16,NC,-,-,-,-,-,,K16,NC,-,-,-,-,-,,K16,PR29A,2,-,True_OF_PR29B,TRUE,RDQS29
K17,NC,-,-,-,-,-,,K17,NC,-,-,-,-,-,,K17,PR29B,2,-,Comp_OF_PR29A,TRUE,RDQSN29
K18,PR20D,2,-,Comp_OF_PR20C,-,RDQ20,,K18,PR29D,2,-,Comp_OF_PR29C,-,RDQ29,,K18,PR41D,2,-,Comp_OF_PR41C,-,RDQ41
K19,PR23B,2,PCLKC2_1,Comp_OF_PR23A,TRUE,RDQ20,,K19,PR32B,2,PCLKC2_1,Comp_OF_PR32A,TRUE,RDQ29,,K19,PR44B,2,PCLKC2_1,Comp_OF_PR44A,TRUE,RDQ41
K20,PR23D,2,PCLKC2_0,Comp_OF_PR23C,-,RDQ20,,K20,PR32D,2,PCLKC2_0,Comp_OF_PR32C,-,RDQ29,,K20,PR44D,2,PCLKC2_0,Comp_OF_PR44C,-,RDQ41
L1,PL44C,6,-,True_OF_PL44D,-,LDQ44,,L1,PL65C,6,-,True_OF_PL65D,-,LDQ65,,L1,PL89C,6,-,True_OF_PL89D,-,LDQ89
L2,PL41D,6,-,Comp_OF_PL41C,-,LDQ44,,L2,PL62D,6,-,Comp_OF_PL62C,-,LDQ65,,L2,PL86D,6,-,Comp_OF_PL86C,-,LDQ89
L3,PL41C,6,-,True_OF_PL41D,-,LDQ44,,L3,PL62C,6,-,True_OF_PL62D,-,LDQ65,,L3,PL86C,6,-,True_OF_PL86D,-,LDQ89
L4,PL35C,6,-,True_OF_PL35D,-,LDQ32,,L4,PL44C,6,-,True_OF_PL44D,-,LDQ41,,L4,PL56C,6,-,True_OF_PL56D,-,LDQ53
L5,PL35D,6,-,Comp_OF_PL35C,-,LDQ32,,L5,PL44D,6,-,Comp_OF_PL44C,-,LDQ41,,L5,PL56D,6,-,Comp_OF_PL56C,-,LDQ53
L6,VCCIO6,6,-,-,-,-,,L6,VCCIO6,6,-,-,-,-,,L6,VCCIO6,6,-,-,-,-
L7,VCCIO6,6,-,-,-,-,,L7,VCCIO6,6,-,-,-,-,,L7,VCCIO6,6,-,-,-,-
L8,VCC,-,-,-,-,-,,L8,VCC,-,-,-,-,-,,L8,VCC,-,-,-,-,-
L9,GND,-,-,-,-,-,,L9,GND,-,-,-,-,-,,L9,GND,-,-,-,-,-
L10,GND,-,-,-,-,-,,L10,GND,-,-,-,-,-,,L10,GND,-,-,-,-,-
L11,GND,-,-,-,-,-,,L11,GND,-,-,-,-,-,,L11,GND,-,-,-,-,-
L12,GND,-,-,-,-,-,,L12,GND,-,-,-,-,-,,L12,GND,-,-,-,-,-
L13,VCC,-,-,-,-,-,,L13,VCC,-,-,-,-,-,,L13,VCC,-,-,-,-,-
L14,VCCIO3,3,-,-,-,-,,L14,VCCIO3,3,-,-,-,-,,L14,VCCIO3,3,-,-,-,-
L15,VCCIO3,3,-,-,-,-,,L15,VCCIO3,3,-,-,-,-,,L15,VCCIO3,3,-,-,-,-
L16,PR29A,3,GR_PCLK3_0,True_OF_PR29B,TRUE,RDQ32,,L16,PR38A,3,GR_PCLK3_0,True_OF_PR38B,TRUE,RDQ41,,L16,PR50A,3,GR_PCLK3_0,True_OF_PR50B,TRUE,RDQ53
L17,PR29B,3,-,Comp_OF_PR29A,TRUE,RDQ32,,L17,PR38B,3,-,Comp_OF_PR38A,TRUE,RDQ41,,L17,PR50B,3,-,Comp_OF_PR50A,TRUE,RDQ53
L18,PR29C,3,GR_PCLK3_1,True_OF_PR29D,-,RDQ32,,L18,PR38C,3,GR_PCLK3_1,True_OF_PR38D,-,RDQ41,,L18,PR50C,3,GR_PCLK3_1,True_OF_PR50D,-,RDQ53
L19,PR26C,3,PCLKT3_0,True_OF_PR26D,-,RDQ32,,L19,PR35C,3,PCLKT3_0,True_OF_PR35D,-,RDQ41,,L19,PR47C,3,PCLKT3_0,True_OF_PR47D,-,RDQ53
L20,PR26A,3,PCLKT3_1,True_OF_PR26B,TRUE,RDQ32,,L20,PR35A,3,PCLKT3_1,True_OF_PR35B,TRUE,RDQ41,,L20,PR47A,3,PCLKT3_1,True_OF_PR47B,TRUE,RDQ53
M1,PL44B,6,-,Comp_OF_PL44A,TRUE,LDQSN44,,M1,PL65B,6,-,Comp_OF_PL65A,TRUE,LDQSN65,,M1,PL89B,6,-,Comp_OF_PL89A,TRUE,LDQSN89
M2,GND,-,-,-,-,-,,M2,GND,-,-,-,-,-,,M2,GND,-,-,-,-,-
M3,PL41B,6,-,Comp_OF_PL41A,TRUE,LDQ44,,M3,PL62B,6,-,Comp_OF_PL62A,TRUE,LDQ65,,M3,PL86B,6,-,Comp_OF_PL86A,TRUE,LDQ89
M4,PL38A,6,-,True_OF_PL38B,TRUE,LDQ44,,M4,PL59A,6,-,True_OF_PL59B,TRUE,LDQ65,,M4,PL83A,6,-,True_OF_PL83B,TRUE,LDQ89
M5,NC,-,-,-,-,-,,M5,PL53A,6,-,True_OF_PL53B,TRUE,LDQS53,,M5,PL77A,6,-,True_OF_PL77B,TRUE,LDQS77
M6,VCCIO6,6,-,-,-,-,,M6,VCCIO6,6,-,-,-,-,,M6,VCCIO6,6,-,-,-,-
M7,GND,-,-,-,-,-,,M7,GND,-,-,-,-,-,,M7,GND,-,-,-,-,-
M8,VCC,-,-,-,-,-,,M8,VCC,-,-,-,-,-,,M8,VCC,-,-,-,-,-
M9,GND,-,-,-,-,-,,M9,GND,-,-,-,-,-,,M9,GND,-,-,-,-,-
M10,GND,-,-,-,-,-,,M10,GND,-,-,-,-,-,,M10,GND,-,-,-,-,-
M11,GND,-,-,-,-,-,,M11,GND,-,-,-,-,-,,M11,GND,-,-,-,-,-
M12,GND,-,-,-,-,-,,M12,GND,-,-,-,-,-,,M12,GND,-,-,-,-,-
M13,VCC,-,-,-,-,-,,M13,VCC,-,-,-,-,-,,M13,VCC,-,-,-,-,-
M14,GND,-,-,-,-,-,,M14,GND,-,-,-,-,-,,M14,GND,-,-,-,-,-
M15,VCCIO3,3,-,-,-,-,,M15,VCCIO3,3,-,-,-,-,,M15,VCCIO3,3,-,-,-,-
M16,GND,-,-,-,-,-,,M16,GND,-,-,-,-,-,,M16,GND,-,-,-,-,-
M17,PR32B,3,-,Comp_OF_PR32A,TRUE,RDQSN32,,M17,PR41B,3,-,Comp_OF_PR41A,TRUE,RDQSN41,,M17,PR53B,3,-,Comp_OF_PR53A,TRUE,RDQSN53
M18,PR29D,3,-,Comp_OF_PR29C,-,RDQ32,,M18,PR38D,3,-,Comp_OF_PR38C,-,RDQ41,,M18,PR50D,3,-,Comp_OF_PR50C,-,RDQ53
M19,PR26D,3,PCLKC3_0,Comp_OF_PR26C,-,RDQ32,,M19,PR35D,3,PCLKC3_0,Comp_OF_PR35C,-,RDQ41,,M19,PR47D,3,PCLKC3_0,Comp_OF_PR47C,-,RDQ53
M20,PR26B,3,PCLKC3_1,Comp_OF_PR26A,TRUE,RDQ32,,M20,PR35B,3,PCLKC3_1,Comp_OF_PR35A,TRUE,RDQ41,,M20,PR47B,3,PCLKC3_1,Comp_OF_PR47A,TRUE,RDQ53
N1,PL44D,6,-,Comp_OF_PL44C,-,LDQ44,,N1,PL65D,6,-,Comp_OF_PL65C,-,LDQ65,,N1,PL89D,6,-,Comp_OF_PL89C,-,LDQ89
N2,PL44A,6,-,True_OF_PL44B,TRUE,LDQS44,,N2,PL65A,6,-,True_OF_PL65B,TRUE,LDQS65,,N2,PL89A,6,-,True_OF_PL89B,TRUE,LDQS89
N3,PL41A,6,-,True_OF_PL41B,TRUE,LDQ44,,N3,PL62A,6,-,True_OF_PL62B,TRUE,LDQ65,,N3,PL86A,6,-,True_OF_PL86B,TRUE,LDQ89
N4,PL38C,6,-,True_OF_PL38D,-,LDQ44,,N4,PL59C,6,-,True_OF_PL59D,-,LDQ65,,N4,PL83C,6,-,True_OF_PL83D,-,LDQ89
N5,PL38B,6,-,Comp_OF_PL38A,TRUE,LDQ44,,N5,PL59B,6,-,Comp_OF_PL59A,TRUE,LDQ65,,N5,PL83B,6,-,Comp_OF_PL83A,TRUE,LDQ89
N6,GND,-,-,-,-,-,,N6,GND,-,-,-,-,-,,N6,GND,-,-,-,-,-
N7,GND,-,-,-,-,-,,N7,GND,-,-,-,-,-,,N7,GND,-,-,-,-,-
N8,VCC,-,-,-,-,-,,N8,VCC,-,-,-,-,-,,N8,VCC,-,-,-,-,-
N9,VCC,-,-,-,-,-,,N9,VCC,-,-,-,-,-,,N9,VCC,-,-,-,-,-
N10,VCC,-,-,-,-,-,,N10,VCC,-,-,-,-,-,,N10,VCC,-,-,-,-,-
N11,VCC,-,-,-,-,-,,N11,VCC,-,-,-,-,-,,N11,VCC,-,-,-,-,-
N12,VCC,-,-,-,-,-,,N12,VCC,-,-,-,-,-,,N12,VCC,-,-,-,-,-
N13,VCC,-,-,-,-,-,,N13,VCC,-,-,-,-,-,,N13,VCC,-,-,-,-,-
N14,GND,-,-,-,-,-,,N14,GND,-,-,-,-,-,,N14,GND,-,-,-,-,-
N15,GND,-,-,-,-,-,,N15,GND,-,-,-,-,-,,N15,GND,-,-,-,-,-
N16,PR32A,3,-,True_OF_PR32B,TRUE,RDQS32,,N16,PR41A,3,-,True_OF_PR41B,TRUE,RDQS41,,N16,PR53A,3,-,True_OF_PR53B,TRUE,RDQS53
N17,PR35A,3,-,True_OF_PR35B,TRUE,RDQ32,,N17,PR44A,3,-,True_OF_PR44B,TRUE,RDQ41,,N17,PR56A,3,-,True_OF_PR56B,TRUE,RDQ53
N18,PR32C,3,-,True_OF_PR32D,-,RDQ32,,N18,PR41C,3,-,True_OF_PR41D,-,RDQ41,,N18,PR53C,3,-,True_OF_PR53D,-,RDQ53
N19,PR38A,3,-,True_OF_PR38B,TRUE,RDQ44,,N19,PR59A,3,-,True_OF_PR59B,TRUE,RDQ65,,N19,PR83A,3,-,True_OF_PR83B,TRUE,RDQ89
N20,PR38B,3,-,Comp_OF_PR38A,TRUE,RDQ44,,N20,PR59B,3,-,Comp_OF_PR59A,TRUE,RDQ65,,N20,PR83B,3,-,Comp_OF_PR83A,TRUE,RDQ89
P1,PL47A,6,-,True_OF_PL47B,TRUE,LDQ44,,P1,PL68A,6,-,True_OF_PL68B,TRUE,LDQ65,,P1,PL92A,6,-,True_OF_PL92B,TRUE,LDQ89
P2,PL47B,6,-,Comp_OF_PL47A,TRUE,LDQ44,,P2,PL68B,6,-,Comp_OF_PL68A,TRUE,LDQ65,,P2,PL92B,6,-,Comp_OF_PL92A,TRUE,LDQ89
P3,PL47C,6,LLC_GPLL0T_IN,True_OF_PL47D,-,LDQ44,,P3,PL68C,6,LLC_GPLL0T_IN,True_OF_PL68D,-,LDQ65,,P3,PL92C,6,LLC_GPLL0T_IN,True_OF_PL92D,-,LDQ89
P4,PL47D,6,LLC_GPLL0C_IN,Comp_OF_PL47C,-,LDQ44,,P4,PL68D,6,LLC_GPLL0C_IN,Comp_OF_PL68C,-,LDQ65,,P4,PL92D,6,LLC_GPLL0C_IN,Comp_OF_PL92C,-,LDQ89
P5,PL38D,6,-,Comp_OF_PL38C,-,LDQ44,,P5,PL59D,6,-,Comp_OF_PL59C,-,LDQ65,,P5,PL83D,6,-,Comp_OF_PL83C,-,LDQ89
P6,VCCAUX,-,-,-,-,-,,P6,VCCAUX,-,-,-,-,-,,P6,VCCAUX,-,-,-,-,-
P7,GND,-,-,-,-,-,,P7,GND,-,-,-,-,-,,P7,GND,-,-,-,-,-
P8,GND,-,-,-,-,-,,P8,GND,-,-,-,-,-,,P8,GND,-,-,-,-,-
P9,VCCIO8,8,-,-,-,-,,P9,VCCIO8,8,-,-,-,-,,P9,VCCIO8,8,-,-,-,-
P10,VCCIO8,8,-,-,-,-,,P10,VCCIO8,8,-,-,-,-,,P10,VCCIO8,8,-,-,-,-
P11,GND,-,-,-,-,-,,P11,GND,-,-,-,-,-,,P11,GND,-,-,-,-,-
P12,GND,-,-,-,-,-,,P12,GND,-,-,-,-,-,,P12,GND,-,-,-,-,-
P13,GND,-,-,-,-,-,,P13,GND,-,-,-,-,-,,P13,GND,-,-,-,-,-
P14,GND,-,-,-,-,-,,P14,GND,-,-,-,-,-,,P14,GND,-,-,-,-,-
P15,VCCAUX,-,-,-,-,-,,P15,VCCAUX,-,-,-,-,-,,P15,VCCAUX,-,-,-,-,-
P16,PR35B,3,VREF1_3,Comp_OF_PR35A,TRUE,RDQ32,,P16,PR44B,3,VREF1_3,Comp_OF_PR44A,TRUE,RDQ41,,P16,PR56B,3,VREF1_3,Comp_OF_PR56A,TRUE,RDQ53
P17,PR32D,3,-,Comp_OF_PR32C,-,RDQ32,,P17,PR41D,3,-,Comp_OF_PR41C,-,RDQ41,,P17,PR53D,3,-,Comp_OF_PR53C,-,RDQ53
P18,PR38D,3,-,Comp_OF_PR38C,-,RDQ44,,P18,PR59D,3,-,Comp_OF_PR59C,-,RDQ65,,P18,PR83D,3,-,Comp_OF_PR83C,-,RDQ89
P19,PR38C,3,-,True_OF_PR38D,-,RDQ44,,P19,PR59C,3,-,True_OF_PR59D,-,RDQ65,,P19,PR83C,3,-,True_OF_PR83D,-,RDQ89
P20,PR41A,3,-,True_OF_PR41B,TRUE,RDQ44,,P20,PR62A,3,-,True_OF_PR62B,TRUE,RDQ65,,P20,PR86A,3,-,True_OF_PR86B,TRUE,RDQ89
R1,PB4A,8,D7/IO7,True_OF_PB4B,-,-,,R1,PB4A,8,D7/IO7,True_OF_PB4B,-,-,,R1,PB4A,8,D7/IO7,True_OF_PB4B,-,-
R2,PB15A,8,HOLDN/DI/BUSY/CSSPIN/CEN,True_OF_PB15B,-,-,,R2,PB15A,8,HOLDN/DI/BUSY/CSSPIN/CEN,True_OF_PB15B,-,-,,R2,PB15A,8,HOLDN/DI/BUSY/CSSPIN/CEN,True_OF_PB15B,-,-
R3,PB15B,8,DOUT/CSON,Comp_OF_PB15A,-,-,,R3,PB15B,8,DOUT/CSON,Comp_OF_PB15A,-,-,,R3,PB15B,8,DOUT/CSON,Comp_OF_PB15A,-,-
R4,CFG_2,8,-,-,-,-,,R4,CFG_2,8,-,-,-,-,,R4,CFG_2,8,-,-,-,-
R5,TDI,40,-,-,-,-,,R5,TDI,40,-,-,-,-,,R5,TDI,40,-,-,-,-
R16,PR35C,3,-,True_OF_PR35D,-,RDQ32,,R16,PR44C,3,-,True_OF_PR44D,-,RDQ41,,R16,PR56C,3,-,True_OF_PR56D,-,RDQ53
R17,PR35D,3,-,Comp_OF_PR35C,-,RDQ32,,R17,PR44D,3,-,Comp_OF_PR44C,-,RDQ41,,R17,PR56D,3,-,Comp_OF_PR56C,-,RDQ53
R18,PR44B,3,-,Comp_OF_PR44A,TRUE,RDQSN44,,R18,PR65B,3,-,Comp_OF_PR65A,TRUE,RDQSN65,,R18,PR89B,3,-,Comp_OF_PR89A,TRUE,RDQSN89
R19,GND,-,-,-,-,-,,R19,GND,-,-,-,-,-,,R19,GND,-,-,-,-,-
R20,PR41B,3,-,Comp_OF_PR41A,TRUE,RDQ44,,R20,PR62B,3,-,Comp_OF_PR62A,TRUE,RDQ65,,R20,PR86B,3,-,Comp_OF_PR86A,TRUE,RDQ89
T1,PB4B,8,D6/IO6,Comp_OF_PB4A,-,-,,T1,PB4B,8,D6/IO6,Comp_OF_PB4A,-,-,,T1,PB4B,8,D6/IO6,Comp_OF_PB4A,-,-
T2,PB13A,8,SN/CSN,True_OF_PB13B,-,-,,T2,PB13A,8,SN/CSN,True_OF_PB13B,-,-,,T2,PB13A,8,SN/CSN,True_OF_PB13B,-,-
T3,PB18A,8,WRITEN,-,-,-,,T3,PB18A,8,WRITEN,-,-,-,,T3,PB18A,8,WRITEN,-,-,-
T4,CFG_1,8,-,-,-,-,,T4,CFG_1,8,-,-,-,-,,T4,CFG_1,8,-,-,-,-
T5,TCK,40,-,-,-,-,,T5,TCK,40,-,-,-,-,,T5,TCK,40,-,-,-,-
T6,VCCA0,-,-,-,-,-,,T6,VCCA0,-,-,-,-,-,,T6,VCCA0,-,-,-,-,-
T7,VCCHTX0_D0CH0,-,-,-,-,-,,T7,VCCHTX0_D0CH0,-,-,-,-,-,,T7,VCCHTX0_D0CH0,-,-,-,-,-
T8,VCCHRX0_D0CH0,-,-,-,-,-,,T8,VCCHRX0_D0CH0,-,-,-,-,-,,T8,VCCHRX0_D0CH0,-,-,-,-,-
T9,VCCHRX1_D0CH1,-,-,-,-,-,,T9,VCCHRX1_D0CH1,-,-,-,-,-,,T9,VCCHRX1_D0CH1,-,-,-,-,-
T10,VCCHTX1_D0CH1,-,-,-,-,-,,T10,VCCHTX1_D0CH1,-,-,-,-,-,,T10,VCCHTX1_D0CH1,-,-,-,-,-
T11,NC,-,-,-,-,-,,T11,VCCHTX0_D1CH0,-,-,-,-,-,,T11,VCCHTX0_D1CH0,-,-,-,-,-
T12,NC,-,-,-,-,-,,T12,VCCHRX0_D1CH0,-,-,-,-,-,,T12,VCCHRX0_D1CH0,-,-,-,-,-
T13,NC,-,-,-,-,-,,T13,VCCHRX1_D1CH1,-,-,-,-,-,,T13,VCCHRX1_D1CH1,-,-,-,-,-
T14,NC,-,-,-,-,-,,T14,VCCHTX1_D1CH1,-,-,-,-,-,,T14,VCCHTX1_D1CH1,-,-,-,-,-
T15,NC,-,-,-,-,-,,T15,VCCA1,-,-,-,-,-,,T15,VCCA1,-,-,-,-,-
T16,NC,-,-,-,-,-,,T16,PR53A,3,-,True_OF_PR53B,TRUE,RDQS53,,T16,PR77A,3,-,True_OF_PR77B,TRUE,RDQS77
T17,PR47D,3,LRC_GPLL0C_IN,Comp_OF_PR47C,-,RDQ44,,T17,PR68D,3,LRC_GPLL0C_IN,Comp_OF_PR68C,-,RDQ65,,T17,PR92D,3,LRC_GPLL0C_IN,Comp_OF_PR92C,-,RDQ89
T18,PR44D,3,-,Comp_OF_PR44C,-,RDQ44,,T18,PR65D,3,-,Comp_OF_PR65C,-,RDQ65,,T18,PR89D,3,-,Comp_OF_PR89C,-,RDQ89
T19,PR44A,3,-,True_OF_PR44B,TRUE,RDQS44,,T19,PR65A,3,-,True_OF_PR65B,TRUE,RDQS65,,T19,PR89A,3,-,True_OF_PR89B,TRUE,RDQS89
T20,PR41C,3,-,True_OF_PR41D,-,RDQ44,,T20,PR62C,3,-,True_OF_PR62D,-,RDQ65,,T20,PR86C,3,-,True_OF_PR86D,-,RDQ89
U1,PB6A,8,D5/MISO2/IO5,True_OF_PB6B,-,-,,U1,PB6A,8,D5/MISO2/IO5,True_OF_PB6B,-,-,,U1,PB6A,8,D5/MISO2/IO5,True_OF_PB6B,-,-
U2,PB13B,8,CS1N,Comp_OF_PB13A,-,-,,U2,PB13B,8,CS1N,Comp_OF_PB13A,-,-,,U2,PB13B,8,CS1N,Comp_OF_PB13A,-,-
U3,CCLK,8,MCLK/SCK,-,-,-,,U3,CCLK,8,MCLK/SCK,-,-,-,,U3,CCLK,8,MCLK/SCK,-,-,-
U4,CFG_0,8,-,-,-,-,,U4,CFG_0,8,-,-,-,-,,U4,CFG_0,8,-,-,-,-
U5,TMS,40,-,-,-,-,,U5,TMS,40,-,-,-,-,,U5,TMS,40,-,-,-,-
U6,VCCA0,-,-,-,-,-,,U6,VCCA0,-,-,-,-,-,,U6,VCCA0,-,-,-,-,-
U7,GND,-,GND,-,-,-,,U7,GND,-,GND,-,-,-,,U7,GND,-,GND,-,-,-
