# ECP5-5G caBGA381 Pin Migration,,,,,,,,,,,,,,,,,,,,,,
# Revision 0.0,,,,,,,,,,,,,,,,,,,,,,
"# Revised Feb. 23, 2016",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
LFE5UM5G-25,,,,,,,,LFE5UM5G-45,,,,,,,,LFE5UM5G-85,,,,,,
Pin Number,Pin Function,Bank,Dual Function,Differential,True LVDS,DQS,,Pin Number,Pin Function,Bank,Dual Function,Differential,True LVDS,DQS,,Pin Number,Pin Function,Bank,Dual Function,Differential,True LVDS,DQS
B13,PT42A,1,-,True_OF_PT42B,-,-,,B13,PT51A,1,-,True_OF_PT51B,-,-,,B13,PT78A,1,-,True_OF_PT78B,-,-
B14,GND,-,-,-,-,-,,B14,GND,-,-,-,-,-,,B14,GND,-,-,-,-,-
B15,PT51A,1,-,True_OF_PT51B,-,-,,B15,PT69A,1,-,True_OF_PT69B,-,-,,B15,PT105A,1,-,True_OF_PT105B,-,-
B16,PT56B,1,-,Comp_OF_PT56A,-,-,,B16,PT74B,1,-,Comp_OF_PT74A,-,-,,B16,PT110B,1,-,Comp_OF_PT110A,-,-
B17,PT60A,1,-,True_OF_PT60B,-,-,,B17,PT78A,1,-,True_OF_PT78B,-,-,,B17,PT114A,1,-,True_OF_PT114B,-,-
B18,PT62B,1,-,Comp_OF_PT62A,-,-,,B18,PT80B,1,-,Comp_OF_PT80A,-,-,,B18,PT116B,1,-,Comp_OF_PT116A,-,-
B19,PT65B,1,-,Comp_OF_PT65A,-,-,,B19,PT83B,1,-,Comp_OF_PT83A,-,-,,B19,PT119B,1,-,Comp_OF_PT119A,-,-
B20,PT67B,1,-,Comp_OF_PT67A,-,-,,B20,PT85B,1,URC_GPLL1C_IN,Comp_OF_PT85A,-,-,,B20,PT121B,1,URC_GPLL1C_IN,Comp_OF_PT121A,-,-
C1,PL17A,7,-,True_OF_PL17B,TRUE,LDQ20,,C1,PL26A,7,-,True_OF_PL26B,TRUE,LDQ29,,C1,PL38A,7,-,True_OF_PL38B,TRUE,LDQ41
C2,PL14D,7,-,Comp_OF_PL14C,-,LDQ20,,C2,PL23D,7,-,Comp_OF_PL23C,-,LDQ29,,C2,PL35D,7,-,Comp_OF_PL35C,-,LDQ41
C3,PL8C,7,-,True_OF_PL8D,-,LDQ8,,C3,PL17C,7,-,True_OF_PL17D,-,LDQ17,,C3,PL17C,7,-,True_OF_PL17D,-,LDQ17
C4,PL5A,7,-,True_OF_PL5B,TRUE,LDQ8,,C4,PL14A,7,-,True_OF_PL14B,TRUE,LDQ17,,C4,PL14A,7,-,True_OF_PL14B,TRUE,LDQ17
C5,PL2D,7,-,Comp_OF_PL2C,-,LDQ8,,C5,PL11D,7,-,Comp_OF_PL11C,-,LDQ17,,C5,PL11D,7,-,Comp_OF_PL11C,-,LDQ17
C6,PT11A,0,-,True_OF_PT11B,-,-,,C6,PT11A,0,-,True_OF_PT11B,-,-,,C6,PT11A,0,-,True_OF_PT11B,-,-
C7,PT11B,0,-,Comp_OF_PT11A,-,-,,C7,PT11B,0,-,Comp_OF_PT11A,-,-,,C7,PT11B,0,-,Comp_OF_PT11A,-,-
C8,PT15A,0,-,True_OF_PT15B,-,-,,C8,PT15A,0,-,True_OF_PT15B,-,-,,C8,PT15A,0,-,True_OF_PT15B,-,-
C9,NC,-,-,-,-,-,,C9,PT27A,0,-,True_OF_PT27B,-,-,,C9,PT54A,0,-,True_OF_PT54B,-,-
C10,PT22B,0,-,Comp_OF_PT22A,-,-,,C10,PT31B,0,-,Comp_OF_PT31A,-,-,,C10,PT58B,0,-,Comp_OF_PT58A,-,-
C11,PT29B,0,PCLKC0_0,Comp_OF_PT29A,-,-,,C11,PT38B,0,PCLKC0_0,Comp_OF_PT38A,-,-,,C11,PT65B,0,PCLKC0_0,Comp_OF_PT65A,-,-
C12,PT35B,1,PCLKC1_0,Comp_OF_PT35A,-,-,,C12,PT44B,1,PCLKC1_0,Comp_OF_PT44A,-,-,,C12,PT71B,1,PCLKC1_0,Comp_OF_PT71A,-,-
C13,PT42B,1,-,Comp_OF_PT42A,-,-,,C13,PT51B,1,-,Comp_OF_PT51A,-,-,,C13,PT78B,1,-,Comp_OF_PT78A,-,-
